rank,seller_id,orders,reviewed_orders,mean_score,bad_reviews,canceled_orders,late_rate,revenue,bad_share,cancel_rate,bad_share_lower_bound,seller_state,seller_city
49,4a3ca9315b744ce9f8e9374361493884,1806,1785,3.828,342,2,0.0979,200472.92,0.1916,0.0011,0.174,SP,ibitinga
50,cca3071e3e9bb7d12640c9fbe2301306,712,700,3.847,141,1,0.0488,64009.89,0.2014,0.0014,0.1734,SP,ibitinga
51,891071be6ba827b591264c90c2ae8a63,92,92,3.772,23,1,0.1429,4177.28,0.25,0.0109,0.1728,SP,sao paulo
52,431af27f296bc6519d890aa5a05fdb11,117,116,3.776,28,0,0.1379,13109.5,0.2414,0.0,0.1726,SP,ribeirao preto
53,f08c008c8a8d31417763738a1788a2a8,22,21,3.19,7,0,0.15,1291.72,0.3333,0.0,0.1719,PR,santa terezinha de itaipu
54,82e0a475a88cc9595229d8029273f045,42,42,3.643,12,1,0.0976,10930.02,0.2857,0.0238,0.1717,SP,sao paulo
55,d2374cbcbb3ca4ab1086534108cc3ab7,524,518,3.766,105,1,0.0527,21223.92,0.2027,0.0019,0.1703,SP,ibitinga
56,d1c281d3ae149232351cd8c8cc885f0d,215,213,3.798,47,0,0.0657,26942.6,0.2207,0.0,0.1702,SP,ibitinga
57,dc4a0fc896dc34b0d5bfec8438291c80,231,231,3.775,50,0,0.0667,24180.77,0.2165,0.0,0.1683,SP,ibitinga
58,cd06602b43d8800bd0afad514919d35c,44,44,3.682,12,1,0.0476,2588.07,0.2727,0.0227,0.1634,SP,sao paulo
59,f457c46070d02cadd8a68551231220dd,199,197,3.838,42,3,0.0567,19093.0,0.2132,0.0151,0.1618,PR,maringa
60,70a12e78e608ac31179aea7f8422044b,315,313,3.799,63,0,0.0935,30858.53,0.2013,0.0,0.1606,SP,jacarei
61,23613d49c3ac2bd302259e55c06c050c,70,69,3.826,17,0,0.087,4293.0,0.2464,0.0,0.1599,SP,porto ferreira
62,1900267e848ceeba8fa32d80c1a5f5a8,411,404,3.837,79,0,0.0815,24982.53,0.1955,0.0,0.1598,SP,ibitinga
63,c3867b4666c7d76867627c2f7fb22e21,245,243,3.905,50,5,0.1096,37153.4,0.2058,0.0204,0.1597,SP,guara
64,5dceca129747e92ff8ef7a997dc4f8ca,325,321,3.984,64,1,0.0559,112155.53,0.1994,0.0031,0.1594,SP,santa barbara d´oeste
65,e0878efa0e0b7e5313ac0b43bc04c081,27,27,3.519,8,0,0.16,5065.3,0.2963,0.0,0.1585,PR,curitiba
66,5343d0649eca2a983820bfe93fc4d17e,71,70,3.829,17,1,0.1,10000.64,0.2429,0.0141,0.1576,SP,santo andre
67,6560211a19b47992c3666cc44a7e94c0,1854,1838,3.934,319,7,0.0532,123304.83,0.1736,0.0038,0.157,SP,sao paulo
68,213b25e6f54661939f11710a6fddb871,155,154,3.786,33,0,0.0667,15379.5,0.2143,0.0,0.1569,SP,salto
69,66dc1b1632bd6a3e508510c5b3492107,37,37,3.568,10,0,0.0278,3721.39,0.2703,0.0,0.154,SP,jau
70,75d34ebb1bd0bd7dde40dd507b8169c3,62,62,3.742,15,1,0.1228,15048.28,0.2419,0.0161,0.1524,BA,salvador
71,751bdc4d83a466c7206cd42e8f426b03,54,52,3.808,13,2,0.0196,6648.93,0.25,0.037,0.1523,SP,ribeirao pires
72,1025f0e2d44d7041d6cf58b6550e0bfa,915,907,3.99,158,0,0.0791,138968.55,0.1742,0.0,0.1509,SP,sao paulo
73,d20b021d3efdf267a402c402a48ea64b,90,89,3.685,20,1,0.1667,4140.17,0.2247,0.0111,0.1504,SP,ibitinga
74,5f2684dab12e59f83bef73ae57724e45,68,68,3.809,16,1,0.0597,9000.87,0.2353,0.0147,0.1503,SP,sao paulo
75,ef990a83bbea832f36ebe81376335aa8,43,43,3.628,11,0,0.2093,4642.59,0.2558,0.0,0.1493,SC,joinville
76,f76a3b1349b6df1ee875d1f3fa4340f0,24,24,3.458,7,0,0.2917,4160.79,0.2917,0.0,0.1492,SP,sao paulo
77,4e922959ae960d389249c378d1c939f5,420,415,3.954,76,0,0.0909,46030.37,0.1831,0.0,0.1489,SP,jacarei
78,e5a3438891c0bfdb9394643f95273d8e,224,222,3.919,43,1,0.1574,7738.35,0.1937,0.0045,0.1471,SP,limeira
79,7ad32824caee82087b3e2e5f33b1bf32,151,148,3.838,30,0,0.1338,22505.1,0.2027,0.0,0.1458,SP,ibitinga
80,c33847515fa6305ce6feb1e818569f13,114,114,3.851,24,0,0.036,15519.85,0.2105,0.0,0.1457,SC,brusque
81,ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,20,20,3.65,6,0,0.2,21940.8,0.3,0.0,0.1455,SP,sao paulo
